"systemSku","customField1","customField2"
"N848670-00210.5","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025"
"N848652-00113","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848670-00211","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025"
"N833111-001154","NITRO ALTERNATOR SNOWBOARD 2025","NITRO ALTERNATOR SNOWBOARD 2025"
"N848670-00212","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025"
"N833111-001160","NITRO ALTERNATOR SNOWBOARD 2025","NITRO ALTERNATOR SNOWBOARD 2025"
"N833111-001157","NITRO ALTERNATOR SNOWBOARD 2025","NITRO ALTERNATOR SNOWBOARD 2025"
"N833105-001155","NITRO DINGHY SNOWBOARD 2025","NITRO DINGHY SNOWBOARD 2025"
"N848652-00112","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N833111-001162","NITRO ALTERNATOR SNOWBOARD 2025","NITRO ALTERNATOR SNOWBOARD 2025"
"N833119-001163","NITRO MAGNUM SNOWBOARD 2025","NITRO MAGNUM SNOWBOARD 2025"
"N833103-001159","NITRO BANKER SNOWBOARD 2025","NITRO BANKER SNOWBOARD 2025"
"N833119-001167","NITRO MAGNUM SNOWBOARD 2025","NITRO MAGNUM SNOWBOARD 2025"
"N833119-001171","NITRO MAGNUM SNOWBOARD 2025","NITRO MAGNUM SNOWBOARD 2025"
"N833025-001158","NITRO SMP SNOWBOARD 2025","NITRO SMP SNOWBOARD 2025"
"N833025-001152","NITRO SMP SNOWBOARD 2025","NITRO SMP SNOWBOARD 2025"
"N833119-001159","NITRO MAGNUM SNOWBOARD 2025","NITRO MAGNUM SNOWBOARD 2025"
"N833116-001155","NITRO TEAM PRO MARCUS KLEVELAND SNOWBOARD 2025","NITRO TEAM PRO MARCUS KLEVELAND SNOWBOARD 2025"
"N833025-001161","NITRO SMP SNOWBOARD 2025","NITRO SMP SNOWBOARD 2025"
"N833102-001156","NITRO SLASH SNOWBOARD 2025","NITRO SLASH SNOWBOARD 2025"
"N833025-001155","NITRO SMP SNOWBOARD 2025","NITRO SMP SNOWBOARD 2025"
